Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga
56,0.7116317961544513,-0.09979414413060642,180,157,60,1.2835686608438281,1313.0,12.6,3.5,4,3,30.2,True,False,False,True
46,0.06284270408314435,-1.5418689298595207,179,151,66,0.12162348149697526,883.0,33.9,2.1,4,2,32.0,False,True,False,False
32,-0.266393551594833,-0.5003704734997498,167,122,54,-0.44445237510790175,677.0,33.4,2.3,4,2,24.71,False,False,False,False
25,-0.9878082883009878,-0.17990941000443508,190,164,56,-1.9937126142370396,532.0,28.8,2.1,3,1,18.41,True,False,True,False
38,-1.3315696729059343,0.541127982860023,188,158,68,-1.8447452835515457,556.0,29.2,2.8,3,1,14.39,True,False,True,False
56,-0.7554062254694749,-0.34013994175209245,168,156,74,0.9856339994728405,1116.0,15.5,2.7,5,3,20.55,False,True,False,False
36,-0.15987593946372275,-0.01967887825677775,174,169,73,0.6876993381018522,1385.0,21.3,2.3,3,2,23.76,True,False,False,False
40,-0.1889261973176616,-1.702099461607178,189,141,64,0.032243083085678775,895.0,30.6,1.9,3,2,30.57,False,False,False,False
28,2.328762816690397,1.7428569709674513,185,127,52,-0.6828001042046924,719.0,28.9,2.6,4,2,32.34,True,False,True,False
28,1.3652625978680817,0.9417043122291664,169,136,64,0.032243083085678775,808.0,29.7,2.7,3,1,30.07,True,False,False,False
41,-0.16955935874836928,-0.4202552076259211,188,146,54,-1.3084628930837674,593.0,20.5,3.0,2,1,43.31,True,True,False,False
53,-1.0604339329358357,-0.17990941000443508,175,152,72,-0.32527851055950713,865.0,23.6,3.5,3,2,17.89,True,True,False,False
57,1.883325529596663,-0.9009468028688914,195,165,61,-0.0571373153256177,1013.0,22.1,2.7,3,2,43.4,True,False,False,False
41,1.0118177939784891,2.2235485662104235,179,136,69,-0.23589811214821066,794.0,27.6,3.7,3,1,23.62,True,True,False,False
20,2.135094430997469,0.7013585146076803,196,161,54,0.2705908121824694,1195.0,26.4,3.3,3,2,35.93,True,False,False,True
39,-1.5058712200295692,0.22066691936470828,181,131,52,-0.3848654428337048,740.0,26.2,2.1,2,1,13.88,False,False,True,False
19,-0.4649036469300835,-1.5418689298595207,166,167,58,0.21100387990827174,1111.0,29.8,2.3,3,2,27.34,False,True,False,False
41,-1.4429289946793677,0.3808974511123656,182,165,58,-0.20610464601111184,884.0,31.9,1.6,3,1,13.98,False,False,False,False
47,-0.32933577694503435,0.22066691936470828,199,146,56,-0.3848654428337048,742.0,32.8,2.5,3,2,21.81,False,False,True,False
55,0.07736783301011378,-0.4202552076259211,188,167,51,0.33017774445666703,1030.0,25.2,2.2,2,1,26.96,False,True,False,False
19,0.7455237636507137,0.3808974511123656,175,127,72,0.7174928042389511,1048.0,28.9,3.7,4,2,28.41,True,False,True,False
38,-0.08240858518655131,0.3808974511123656,197,142,72,-0.41465890897080293,875.0,25.7,3.1,2,1,22.95,True,False,False,False
50,-0.12598397196746028,-0.34013994175209245,187,161,70,-0.2656915782853095,848.0,33.1,2.5,2,1,25.16,False,False,False,True
29,2.290029139551811,0.4610127169861943,197,168,65,-1.4276367576321622,721.0,28.1,3.4,2,1,38.16,True,False,False,True
39,-0.45037851800311407,-0.2600246758782638,190,148,58,-0.027343849188518874,925.0,26.9,1.9,4,2,22.51,False,True,False,False
42,-0.47942877585705296,-0.09979414413060642,173,169,62,0.4791450751421605,1080.0,26.1,1.8,3,2,21.78,False,False,False,True
44,-0.4068031312222051,0.6212432487338516,192,139,68,-1.5766040883176564,502.0,27.2,2.7,2,1,20.12,True,True,False,False
59,-0.9539163208047257,0.22066691936470828,168,135,69,0.6579058719647535,989.0,21.6,2.8,4,2,17.6,True,False,True,False
45,0.5470136683154633,1.1019348439768237,186,136,66,1.134601330158334,1104.0,14.2,3.5,5,3,24.54,True,True,False,False
33,0.21293570299516293,-0.34013994175209245,183,135,55,0.09183001535987642,871.0,32.3,1.8,3,2,27.64,False,True,False,False
32,1.6751320149767661,0.6212432487338516,172,138,53,0.032243083085678775,964.0,28.4,3.5,3,1,33.4,True,True,False,False
20,-0.3971197119375586,-1.6219841957333494,185,127,50,-0.6828001042046924,654.0,28.0,2.2,4,2,28.31,False,False,False,True
54,-1.1330595775706835,-0.9009468028688914,188,157,67,0.6579058719647535,1046.0,28.2,2.7,2,1,19.37,False,True,False,False
24,-0.7118308386885662,-1.702099461607178,187,157,68,-0.6530066380675935,816.0,31.7,2.5,2,1,25.83,False,False,False,False
38,0.3775538308341516,-0.09979414413060642,187,148,58,0.7770797365131488,1237.0,10.2,3.5,5,3,27.84,True,True,False,False
26,2.6144236855874645,0.060436387617050925,167,160,62,0.1812104137711729,1162.0,27.3,2.9,3,1,42.63,True,False,True,False
56,-0.6924640001192736,-1.3015231322380347,182,155,57,0.0024496169485799524,879.0,33.4,2.6,4,2,24.37,False,False,False,False
35,1.128018825394246,-0.09979414413060642,188,145,72,0.24079734604537056,1069.0,24.2,2.9,3,2,33.14,True,False,True,False
