,Posted On,BHK,Rent,Size,Bathroom,Current Floor,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
0,2022-05-18,0.2,0.0025151480507602606,0.13642052565707133,0.1111111111111111,0.0,0.011363636363636364,False,True,False,False,False,True,False,False,True,True,False,False,True
1,2022-05-13,0.2,0.005373270835715102,0.09887359198998748,0.0,0.013157894736842105,0.022727272727272724,False,True,False,False,False,True,False,True,False,True,False,False,True
2,2022-05-16,0.2,0.009651973172503445,0.12390488110137672,0.0,0.013157894736842105,0.022727272727272724,False,True,False,False,False,True,False,True,False,True,False,False,True
3,2022-07-04,0.2,0.0025151480507602606,0.09887359198998748,0.0,0.013157894736842105,0.011363636363636364,False,True,False,False,False,True,False,False,True,True,False,False,True
4,2022-05-09,0.2,0.00180061735452155,0.10513141426783477,0.0,0.013157894736842105,0.011363636363636364,True,False,False,False,False,True,False,False,True,False,False,False,True
5,2022-04-29,0.2,0.0016577112152738082,0.07384230287859823,0.1111111111111111,0.0,0.0,False,True,False,False,False,True,False,False,True,True,False,False,True
6,2022-06-21,0.2,0.009651973172503445,0.08635794743429286,0.1111111111111111,0.0,0.03409090909090909,False,True,False,False,False,True,False,False,True,False,False,False,False
7,2022-06-21,0.0,0.0010860866582828397,0.030037546933667086,0.0,0.013157894736842105,0.011363636363636364,False,True,False,False,False,True,False,False,True,False,False,False,False
8,2022-06-07,0.2,0.007088144506688007,0.09887359198998748,0.1111111111111111,0.013157894736842105,0.011363636363636364,True,False,False,False,False,True,False,False,True,False,False,False,False
9,2022-06-20,0.21746254681647942,0.0025151480507602606,0.12390488110137672,0.1111111111111111,0.013157894736842105,0.022727272727272724,True,False,False,False,False,True,False,True,False,True,False,False,True
10,2022-05-23,0.4000000000000001,0.0068023322281925225,0.14893617021276595,0.1111111111111111,0.013157894736842105,0.03409090909090909,True,False,False,False,False,True,False,True,False,True,False,False,False
11,2022-06-07,0.0,0.0010860866582828397,0.04881101376720901,0.0,0.013157894736842105,0.0,True,False,False,False,False,True,False,False,True,True,False,False,False
12,2022-05-14,0.0,0.001514805076026066,0.030037546933667086,0.0,0.013157894736842105,0.03409090909090909,True,False,False,False,False,True,False,False,False,False,False,False,True
13,2022-05-09,0.0,0.0012289927975305819,0.045682102628285357,0.0,0.013157894736842105,0.011363636363636364,True,False,False,False,False,True,False,False,True,True,False,False,False
14,2022-05-05,0.4000000000000001,0.0020864296330170345,0.11138923654568209,0.1111111111111111,0.0,0.011363636363636364,True,False,False,False,False,True,False,False,True,False,False,False,True
15,2022-06-01,0.4000000000000001,0.011089516405624784,0.15969962453066333,0.1111111111111111,0.013157894736842105,0.0,True,False,False,False,False,True,False,False,False,True,False,False,True
16,2022-05-17,0.21746254681647942,0.0013718989367783238,0.07384230287859823,0.0,0.013157894736842105,0.011363636363636364,False,True,False,False,False,True,False,True,False,True,False,False,True
17,2022-06-20,0.2,0.0025151480507602606,0.09887359198998748,0.0,0.0,0.011363636363636364,False,True,False,False,False,True,False,False,True,True,False,False,True
